age,prescript,stigmatic,tearRate
young,myope,no,reduced,no lenses
young,myope,yes,reduced,no lenses
young,myope,yes,normal,hard
young,hyper,no,reduced,no lenses
young,hyper,no,normal,soft
young,hyper,yes,reduced,no lenses
young,hyper,yes,normal,hard
pre,myope,no,reduced,no lenses
pre,myope,no,normal,soft
pre,hyper,no,normal,soft
pre,hyper,yes,reduced,no lenses
pre,hyper,yes,normal,no lenses
presbyopic,myope,no,reduced,no lenses
presbyopic,myope,yes,reduced,no lenses
presbyopic,myope,yes,normal,hard
presbyopic,hyper,no,reduced,no lenses
presbyopic,hyper,no,normal,soft
